ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-03-14T23:33:11Z,ios,249626,US,136.152.143.38,Adam's Song,blink-182,Enema Of The State,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,,,,,,,,trackdone,trackdone,true,false,false,1678836542,false
2023-03-14T23:37:01Z,ios,233240,US,136.152.143.38,Longview,Green Day,Dookie,spotify:track:3LRJbFT9rKoKv4aW7PuBJC,,,,,,,,trackdone,trackdone,true,false,false,1678836789,false
2023-03-14T23:39:13Z,ios,134293,US,136.152.143.38,She,Green Day,Dookie,spotify:track:4wsQGsdf8D0Bj26cGdvreB,,,,,,,,trackdone,trackdone,true,false,false,1678837019,false
2023-03-14T23:44:40Z,ios,329733,US,136.152.143.38,Californication,Red Hot Chili Peppers,Californication,spotify:track:48UPSzbZjgc449aqz8bxox,,,,,,,,trackdone,trackdone,true,false,false,1678837151,false
2023-03-14T23:50:18Z,ios,340907,US,136.152.143.38,Alive,Pearl Jam,Ten,spotify:track:1L94M3KIu7QluZe63g64rv,,,,,,,,trackdone,trackdone,true,false,false,1678837478,false
2023-03-14T23:53:41Z,ios,205946,US,136.152.143.38,Just A Girl,No Doubt,The Singles Collection,spotify:track:6mfkHv00I6jhHIn7EWHJ2N,,,,,,,,trackdone,trackdone,true,false,false,1678837816,false
2023-03-14T23:57:07Z,ios,208466,US,136.152.143.38,Float On,Modest Mouse,Good News For People Who Love Bad News,spotify:track:2lwwrWVKdf3LR9lbbhnr6R,,,,,,,,trackdone,trackdone,true,false,false,1678838019,false
2023-03-15T00:01:17Z,ios,147429,US,136.152.143.38,Crash into Me,Dave Matthews Band,Crash,spotify:track:1HL3yEnYq8LEyFQ3QegA5V,,,,,,,,trackdone,fwdbtn,true,true,false,1678838225,false
2023-03-15T00:03:54Z,ios,148360,US,136.152.143.38,What's My Age Again?,blink-182,Enema Of The State,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,,,,,,,,fwdbtn,trackdone,true,false,false,1678838477,false
2023-03-15T00:07:58Z,ios,243146,US,136.152.143.38,Sit Next to Me,Foster The People,Sacred Hearts Club,spotify:track:4BdGO1CaObRD4La9l5Zanz,,,,,,,,trackdone,trackdone,true,false,false,1678838631,false
2023-03-15T00:11:48Z,ios,153466,US,136.152.143.38,Good Riddance (Time of Your Life),Green Day,Nimrod,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,,,,,,,,trackdone,trackdone,true,false,false,1678838876,false
2023-03-15T00:15:00Z,ios,399,US,136.152.143.38,The Middle,Jimmy Eat World,Bleed American,spotify:track:6GG73Jik4jUlQCkKg9JuGO,,,,,,,,trackdone,unexpected-exit-while-paused,true,false,false,1678839299,false
2023-03-15T00:27:44Z,ios,134862,US,136.152.143.38,Wrong Way,Sublime,Sublime,spotify:track:2PdIo7ewQPuAsP99LVg9uy,,,,,,,,trackdone,unexpected-exit,true,false,false,1678839105,false
2023-03-15T01:08:49Z,ios,165452,US,136.152.143.38,The Middle,Jimmy Eat World,Bleed American,spotify:track:6GG73Jik4jUlQCkKg9JuGO,,,,,,,,appload,trackdone,true,false,false,1678842363,false
2023-03-15T01:12:45Z,ios,239333,US,136.152.143.38,Stay Together For The Kids,blink-182,Take Off Your Pants And Jacket,spotify:track:3YD9EehnGOf88rGSZFrnHg,,,,,,,,trackdone,trackdone,true,false,false,1678842527,false
2023-03-15T01:35:48Z,ios,251062,US,96.76.206.141,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,,,,,,,,trackdone,endplay,true,true,false,1678842763,false
2023-03-15T01:39:10Z,ios,203493,US,96.76.206.141,Homecoming,Kanye West,Graduation,spotify:track:4iz9lGMjU1lXS51oPmUmTe,,,,,,,,playbtn,trackdone,true,false,false,1678844148,false
2023-03-15T01:41:28Z,ios,140746,US,96.76.206.141,Gotta Have It,JAY-Z,Watch The Throne,spotify:track:5Pt83OUaK3K9C2if4C5JOk,,,,,,,,trackdone,trackdone,true,false,false,1678844348,false
2023-03-15T01:44:28Z,ios,182666,US,96.76.206.141,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,HEROES & VILLAINS,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,,,,,,,,trackdone,trackdone,true,false,false,1678844486,false
2023-03-15T01:46:38Z,ios,132733,US,96.76.206.141,Go,$NOT,Ethereal,spotify:track:1bjuNOs0xPb7XO05HJ8FS0,,,,,,,,trackdone,trackdone,true,false,false,1678844666,false
2023-03-15T01:49:36Z,ios,180666,US,96.76.206.141,6 God,Drake,If You're Reading This It's Too Late,spotify:track:3a8tAZFJxlmBwOtrf5L1oC,,,,,,,,trackdone,trackdone,true,false,false,1678844796,false
2023-03-15T01:54:44Z,ios,190986,US,96.76.206.141,Know Your Enemy,Green Day,21st Century Breakdown,spotify:track:5qtwzv99vOr5UTwnTixn7j,,,,,,,,trackdone,trackdone,true,false,false,1678844974,false
2023-03-15T02:01:23Z,ios,274960,US,96.76.206.141,Rise and Shine,J. Cole,Cole World: The Sideline Story,spotify:track:1CivPhVrRCMZixFOQe3NKx,,,,,,,,trackdone,trackdone,true,false,false,1678845282,false
2023-03-15T02:02:08Z,ios,46547,US,96.76.206.141,All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:22L7bfCiAkJo5xGSQgmiIO,,,,,,,,trackdone,endplay,true,true,false,1678845681,false
2023-03-15T02:09:26Z,ios,331560,US,96.76.206.141,Enter Sandman (Remastered),Metallica,Metallica (Remastered),spotify:track:3VqHuw0wFlIHcIPWkhIbdQ,,,,,,,,clickrow,trackdone,false,false,false,1678845729,false
2023-03-15T02:11:23Z,ios,118329,US,96.76.206.141,Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),spotify:track:54bm2e3tk8cliUz3VSdCPZ,,,,,,,,trackdone,fwdbtn,false,true,false,1678846164,false
2023-03-15T02:19:36Z,ios,309973,US,96.76.206.141,For Whom The Bell Tolls (Remastered),Metallica,Ride The Lightning (Deluxe Remaster),spotify:track:51YZAJhOwIC5Gg3jMbAmhZ,,,,,,,,fwdbtn,trackdone,false,false,false,1678846283,false
2023-03-15T02:28:34Z,ios,446145,US,96.76.206.141,One (Remastered),Metallica,...And Justice for All (Remastered Deluxe Box Set),spotify:track:0LAcM6I7ijW4VVW0aytl1t,,,,,,,,trackdone,trackdone,false,false,false,1678846774,false
2023-03-15T02:33:31Z,ios,292580,US,96.76.206.141,Even Flow,Pearl Jam,Ten,spotify:track:6QewNVIDKdSl8Y3ycuHIei,,,,,,,,trackdone,trackdone,false,false,false,1678847311,false
2023-03-15T02:36:47Z,ios,122750,US,136.152.143.38,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,spotify:track:0G21yYKMZoHa30cYVi1iA8,,,,,,,,trackdone,unexpected-exit-while-paused,false,false,false,1678847608,false
2023-03-15T18:06:55Z,ios,194760,US,174.194.201.49,The Impression That I Get,The Mighty Mighty Bosstones,Let's Face It,spotify:track:1ru5R5iSawvuMELqKXxLjS,,,,,,,,playbtn,trackdone,true,false,false,1678903421,false
2023-03-15T18:09:36Z,ios,164106,US,136.152.143.38,With A Little Help From My Friends - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,spotify:track:2RnPATK99oGOZygnD2GTO6,,,,,,,,trackdone,trackdone,true,false,false,1678903613,false
2023-03-15T19:06:04Z,ios,230480,US,136.152.143.38,La Grange - 2005 Remaster,ZZ Top,Tres Hombres,spotify:track:70YvYr2hGlS01bKRIho1HM,,,,,,,,trackdone,trackdone,true,false,false,1678903774,false
2023-03-15T19:09:51Z,ios,180160,US,136.152.143.38,The Kids Aren't Alright,The Offspring,Americana,spotify:track:4EchqUKQ3qAQuRNKmeIpnf,,,,,,,,trackdone,trackdone,true,false,false,1678907162,false
2023-03-15T19:12:59Z,ios,183440,US,136.152.143.38,I'm Still Standing,Elton John,Too Low For Zero,spotify:track:1jDJFeK9x3OZboIAHsY9k2,,,,,,,,trackdone,trackdone,true,false,false,1678907389,false
2023-03-15T19:15:58Z,ios,181533,US,136.152.143.38,Basket Case,Green Day,Dookie,spotify:track:6L89mwZXSOwYl76YXfX13s,,,,,,,,trackdone,trackdone,true,false,false,1678907577,false
2023-03-15T19:21:29Z,ios,333893,US,136.152.143.38,Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II,spotify:track:0hCB0YR03f6AmQaHbwWDe8,,,,,,,,trackdone,trackdone,true,false,false,1678907756,false
2023-03-15T19:26:22Z,ios,295893,US,136.152.143.38,Africa,TOTO,Toto IV,spotify:track:2374M0fQpWi3dLnB54qaLX,,,,,,,,trackdone,trackdone,true,false,false,1678908087,false
2023-03-15T19:30:49Z,ios,269920,US,136.152.143.38,Born to Run,Bruce Springsteen,Born To Run,spotify:track:6hTcuIQa0sxrrByu9wTD7s,,,,,,,,trackdone,trackdone,true,false,false,1678908380,false
2023-03-15T19:36:09Z,ios,323000,US,136.152.143.38,Carry on Wayward Son,Kansas,Leftoverture,spotify:track:4DMKwE2E2iYDKY01C335Uw,,,,,,,,trackdone,trackdone,true,false,false,1678908647,false
2023-03-15T19:40:26Z,ios,258826,US,136.152.143.38,Say It Ain't So - Original Mix,Weezer,Weezer,spotify:track:6VoIBz0VhCyz7OdEoRYDiA,,,,,,,,trackdone,trackdone,true,false,false,1678908967,false
2023-03-15T19:43:52Z,ios,208866,US,136.152.143.38,Rudie Can't Fail - Remastered,The Clash,London Calling (Remastered),spotify:track:4W9zZsQKsqikYbKM9vcN5Q,,,,,,,,trackdone,trackdone,true,false,false,1678909223,false
2023-03-15T19:47:37Z,ios,227760,US,136.152.143.38,All You Need Is Love - Remastered 2015,The Beatles,1,spotify:track:6KqiVlOLfDzJViJVAPym1p,,,,,,,,trackdone,trackdone,true,false,false,1678909429,false
2023-03-15T19:51:56Z,ios,261933,US,136.152.143.38,Barracuda,Heart,Little Queen,spotify:track:4KfSdst7rW39C0sfhArdrz,,,,,,,,trackdone,trackdone,true,false,false,1678909654,false
2023-03-15T19:59:02Z,ios,428851,US,136.152.143.38,When the Levee Breaks - Remaster,Led Zeppelin,Led Zeppelin IV,spotify:track:05f8Hg3RSfiPSCBQOtxl3i,,,,,,,,trackdone,trackdone,true,false,false,1678909913,false
2023-03-15T20:01:52Z,ios,172486,US,192.31.105.209,Sex And Candy,Marcy Playground,"Lunch, Recess & Detention",spotify:track:3hAaCXvutknQugsPFogh8H,,,,,,,,trackdone,trackdone,true,false,false,1678910340,false
