ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-08-24T14:36:45Z,ios,52344,US,2603:3024:101d:a000:48f5:55f7:261:eead,Relax My Eyes,ANOTR,Relax My Eyes,spotify:track:5u4hhtZ7f4rWkMZEZcTKrH,,,,,,,,trackdone,unexpected-exit-while-paused,true,false,false,1724476879,false
2024-08-24T14:40:50Z,ios,241290,US,2603:3024:101d:a000:48f5:55f7:261:eead,Magpie,Peach Pit,Magpie,spotify:track:2ghZbiC9CbdmrHkH5nIquF,,,,,,,,clickrow,endplay,false,true,false,1724510209,false
2024-08-24T14:43:28Z,ios,157266,US,96.76.206.141,My Vibe,Mt. Joy,Rearrange Us,spotify:track:3EsfULMMzZJOGWL6ZsTQaH,,,,,,,,trackdone,trackdone,false,false,false,1724510451,false
2024-08-24T14:47:12Z,ios,226613,US,2603:3024:101d:a000:48f5:55f7:261:eead,Techno Show,Peach Pit,Being So Normal,spotify:track:0a0EYuSVqeVqV8kjN9bFYC,,,,,,,,trackdone,trackdone,false,false,false,1724510605,false
2024-08-24T14:48:38Z,ios,87919,US,2603:3024:101d:a000:48f5:55f7:261:eead,Grand Hoodoo,The Moss,Grand Hoodoo,spotify:track:5wZdxehFNOdgRFVHiZ5IUC,,,,,,,,trackdone,endplay,false,true,false,1724510829,false
2024-08-24T14:51:57Z,ios,199827,US,2603:3024:101d:a000:48f5:55f7:261:eead,Silver Lining,Mt. Joy,Mt. Joy,spotify:track:13xVnZKZDEGbmXkzBFpJDD,,,,,,,,clickrow,trackdone,true,false,false,1724510918,false
2024-08-24T14:55:07Z,ios,193048,US,2603:3024:101d:a000:48f5:55f7:261:eead,All the Debts I Owe,Caamp,Caamp,spotify:track:6gwMhuVPNWwFTTKHKRtJun,,,,,,,,trackdone,trackdone,true,false,false,1724511114,false
2024-08-24T14:59:36Z,ios,209454,US,2603:3024:101d:a000:48f5:55f7:261:eead,Weekend Friend,Goth Babe,Weekend Friend,spotify:track:2d3QlXE6FXFDeodiS66yjM,,,,,,,,trackdone,trackdone,true,false,false,1724511304,false
2024-08-24T15:00:30Z,ios,55788,US,2603:3024:101d:a000:48f5:55f7:261:eead,Yellow Eyes,Rayland Baxter,Imaginary Man,spotify:track:3HOXNIj8NjlgjQiBd3YVIi,,,,,,,,trackdone,endplay,true,true,false,1724511573,false
2024-08-24T15:07:49Z,ios,439094,US,2603:3024:101d:a000:48f5:55f7:261:eead,"Bug Eyes - Live at The Salt Shed, December 2023",Mt. Joy,Live at The Salt Shed,spotify:track:5lddXmIwPjxtPRKGguDKw6,,,,,,,,playbtn,trackdone,true,false,false,1724511630,false
2024-08-24T15:10:39Z,ios,173480,US,2603:3024:101d:a000:48f5:55f7:261:eead,Phenomenon,Mt. Joy,Orange Blood,spotify:track:0tIPqaFrCUw8XylAt9rr3g,,,,,,,,trackdone,trackdone,true,false,false,1724512066,false
2024-08-24T15:14:52Z,ios,255184,US,2603:3024:101d:a000:48f5:55f7:261:eead,"Dreams - Live at The Salt Shed, December 2023",Mt. Joy,Live at The Salt Shed,spotify:track:6e50k4C9GnYVWnYPsigJiU,,,,,,,,trackdone,trackdone,true,false,false,1724512236,false
2024-08-24T20:06:27Z,ios,158429,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,A Little Love,Julia Pratt,A Little Love,spotify:track:5k6L1lOs0AANCee7nYW2au,,,,,,,,trackdone,unexpected-exit-while-paused,true,false,false,1724512489,false
2024-08-24T23:46:14Z,ios,208143,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Sheep,Mt. Joy,Mt. Joy,spotify:track:4c8rK4SVBtKkZC2rV6azrM,,,,,,,,fwdbtn,endplay,true,true,false,1724529990,false
2024-08-24T23:49:17Z,ios,171240,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Evergreen,Mt. Joy,Orange Blood,spotify:track:2bUyKAHjQ58o6gQNh5uyf1,,,,,,,,clickrow,trackdone,false,false,false,1724543174,false
2024-08-25T00:50:51Z,ios,248560,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Lemon Tree,Mt. Joy,Orange Blood,spotify:track:0AJQjFdtEEr0rVoCGauYRU,,,,,,,,trackdone,trackdone,false,false,false,1724543354,false
2024-08-25T00:53:42Z,ios,173480,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Phenomenon,Mt. Joy,Orange Blood,spotify:track:0tIPqaFrCUw8XylAt9rr3g,,,,,,,,trackdone,trackdone,false,false,false,1724547049,false
2024-08-25T00:56:47Z,ios,187335,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Rearrange Us,Mt. Joy,Rearrange Us,spotify:track:2Wm0CW5v1EJ7Qd8mukNGLV,,,,,,,,trackdone,trackdone,false,false,false,1724547219,false
2024-08-25T00:59:21Z,ios,157266,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,My Vibe,Mt. Joy,Rearrange Us,spotify:track:3EsfULMMzZJOGWL6ZsTQaH,,,,,,,,trackdone,trackdone,false,false,false,1724547404,false
2024-08-25T01:03:03Z,ios,221946,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Let Loose,Mt. Joy,Rearrange Us,spotify:track:6oyBx4nQypePtBaQGM43SF,,,,,,,,trackdone,trackdone,false,false,false,1724547561,false
2024-08-25T01:06:14Z,ios,193186,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Strangers,Mt. Joy,Rearrange Us,spotify:track:1bGJz16oDQgDOeTFaLm8Nz,,,,,,,,trackdone,endplay,false,true,false,1724547780,false
2024-08-25T01:09:34Z,ios,199827,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Silver Lining,Mt. Joy,Mt. Joy,spotify:track:13xVnZKZDEGbmXkzBFpJDD,,,,,,,,trackdone,trackdone,false,false,false,1724547974,false
2024-08-25T01:12:26Z,ios,174520,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,Sure Don't Miss You,The Dip,The Dip Delivers,spotify:track:0lEWIegMNMQ7W1ooB1zWT2,,,,,,,,trackdone,trackdone,false,false,false,1724548171,false
2024-08-25T01:12:43Z,ios,19577,US,2600:1010:b09a:c55f:9566:2f07:8a8f:bbb5,No Sleep,Caamp,By and By,spotify:track:13xAVeXFvwNod6KpmNjtRU,,,,,,,,trackdone,fwdbtn,false,true,false,1724548343,false
